%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.33.24.42189	0.772427	4.63824	2.0833	-291.456	-10.9482	-21.0064	-16.3188
31/08/2023 14.33.24.47189	0.772665	2.04678	1.00264	-295.766	-9.09433	-21.1596	-19.9369
31/08/2023 14.33.24.52212	0.772714	3.63293	1.74806	-299.541	-7.52773	-20.0061	-21.4083
31/08/2023 14.33.24.57212	0.772737	1.72675	0.912308	-301.092	-6.22583	-15.3688	-21.3828
31/08/2023 14.33.24.62212	0.772527	3.80606	1.82248	-301.836	-5.08513	-9.46158	-19.9342
31/08/2023 14.33.24.67212	0.77251	2.84689	1.43906	-302.425	-4.33847	-3.65594	-15.1837
31/08/2023 14.33.24.72212	0.7727	2.95782	1.45747	-304.94	-3.8647	0.970474	-9.11485
31/08/2023 14.33.24.77212	0.772725	2.17828	1.05945	-307.954	-3.48239	3.94531	-3.34515
31/08/2023 14.33.24.82212	0.772742	1.26794	0.67453	-312.033	-3.20796	5.65131	1.91754
31/08/2023 14.33.24.87212	0.772431	0.639404	0.598343	-317.167	-2.46432	6.29669	5.92818
31/08/2023 14.33.24.92212	0.772607	1.32217	0.810089	-320.267	-0.919922	6.41287	8.62988
31/08/2023 14.33.24.97212	0.772695	1.01929	0.634583	-322.647	1.94278	6.11841	9.9348
31/08/2023 14.33.25.02212	0.772748	4.01517	1.76711	-323.667	5.91637	5.24677	10.4744
31/08/2023 14.33.25.07212	0.772712	1.78116	1.0296	-322.409	10.283	4.92181	10.303
31/08/2023 14.33.25.12212	0.772416	0.205292	0.468475	-314.147	14.3885	4.89662	9.26294
31/08/2023 14.33.25.17212	0.772606	-1.93439	-0.149536	-300.303	16.973	6.05522	7.37544
31/08/2023 14.33.25.22212	0.772752	-0.667084	0.18103	-287.714	18.1095	8.84932	6.16931
31/08/2023 14.33.25.27212	0.77269	-0.799316	0.0309143	-278.136	18.0807	11.9376	5.09091
31/08/2023 14.33.25.32212	0.772632	0.157776	0.467911	-270.929	16.7031	14.0036	4.90082
31/08/2023 14.33.25.37212	0.772448	0.734009	0.700439	-267.651	12.077	14.6125	4.94791
31/08/2023 14.33.25.42212	0.77267	0.141357	0.371063	-266.94	6.06709	14.231	4.97522
31/08/2023 14.33.25.47212	0.772747	2.52893	1.32848	-267.99	-0.998154	10.9496	6.54555
31/08/2023 14.33.25.52212	0.77274	1.37695	0.748489	-269.269	-6.96669	5.40741	8.29366
31/08/2023 14.33.25.57212	0.7725	1.85352	1.03139	-274.515	-10.9828	-0.405273	8.98921
31/08/2023 14.33.25.62212	0.772549	0.0352783	0.319763	-285.776	-13.3031	-5.96341	8.72687
31/08/2023 14.33.25.67212	0.772658	-0.588776	0.302567	-303.595	-14.2765	-9.96149	7.63339
31/08/2023 14.33.25.72212	0.772762	-0.912903	-0.0232849	-315.765	-14.2164	-12.7125	3.52011
31/08/2023 14.33.25.77212	0.772717	0.952515	0.683243	-339.251	-13.5298	-14.1647	-1.66986
31/08/2023 14.33.25.82212	0.77246	-0.0566711	0.290421	-347.287	-10.7679	-14.5207	-6.16782
31/08/2023 14.33.25.87212	0.772581	0.139709	0.374466	-348.912	-6.76843	-13.9095	-10.3341
31/08/2023 14.33.25.92212	0.772707	6.0799	2.70421	-348.071	-3.26096	-11.6324	-13.0819
31/08/2023 14.33.25.97212	0.772742	0.136292	0.465576	-339.99	-0.790985	-7.97943	-13.9548
